timestamp,soc,voltage,current,power,charging,raw_payload
2026-06-25T07:37:34.213183,97.9,25.024,0.589,14.72,0,"{""soc"":97.9,""voltage"":25.024,""current"":0.589,""power"":14.72,""ocv"":25.056,""cell_v"":4.171,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":801}"
2026-06-25T07:37:39.215051,97.8,25.021,0.612,15.31,0,"{""soc"":97.8,""voltage"":25.021,""current"":0.612,""power"":15.31,""ocv"":25.054,""cell_v"":4.170,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":806}"
2026-06-25T07:37:44.331180,97.8,25.018,0.591,14.79,0,"{""soc"":97.8,""voltage"":25.018,""current"":0.591,""power"":14.79,""ocv"":25.050,""cell_v"":4.170,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":811}"
2026-06-25T07:37:49.246251,97.8,25.016,0.536,13.44,0,"{""soc"":97.8,""voltage"":25.016,""current"":0.536,""power"":13.44,""ocv"":25.045,""cell_v"":4.169,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":816}"
2026-06-25T07:37:54.288898,97.8,25.015,0.535,13.39,0,"{""soc"":97.8,""voltage"":25.015,""current"":0.535,""power"":13.39,""ocv"":25.044,""cell_v"":4.169,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":821}"
2026-06-25T07:38:00.116458,97.8,25.013,0.536,13.44,0,"{""soc"":97.8,""voltage"":25.013,""current"":0.536,""power"":13.44,""ocv"":25.042,""cell_v"":4.169,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":826}"
2026-06-25T07:38:04.210923,97.7,25.011,0.567,14.17,0,"{""soc"":97.7,""voltage"":25.011,""current"":0.567,""power"":14.17,""ocv"":25.042,""cell_v"":4.169,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":831}"
2026-06-25T07:38:09.548562,97.7,25.01,0.577,14.42,0,"{""soc"":97.7,""voltage"":25.010,""current"":0.577,""power"":14.42,""ocv"":25.041,""cell_v"":4.168,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":836}"
2026-06-25T07:38:15.269937,97.7,25.009,0.547,13.69,0,"{""soc"":97.7,""voltage"":25.009,""current"":0.547,""power"":13.69,""ocv"":25.038,""cell_v"":4.168,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":841}"
2026-06-25T07:38:19.367065,97.7,25.008,0.569,14.26,0,"{""soc"":97.7,""voltage"":25.008,""current"":0.569,""power"":14.26,""ocv"":25.038,""cell_v"":4.168,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":846}"
2026-06-25T07:38:24.888704,97.7,25.007,0.543,13.57,0,"{""soc"":97.7,""voltage"":25.007,""current"":0.543,""power"":13.57,""ocv"":25.036,""cell_v"":4.168,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":851}"
2026-06-25T07:38:30.435032,97.7,25.006,0.547,13.66,0,"{""soc"":97.7,""voltage"":25.006,""current"":0.547,""power"":13.66,""ocv"":25.035,""cell_v"":4.168,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":856}"
2026-06-25T07:38:34.414203,97.6,25.004,0.611,15.27,0,"{""soc"":97.6,""voltage"":25.004,""current"":0.611,""power"":15.27,""ocv"":25.037,""cell_v"":4.167,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":861}"
2026-06-25T07:38:39.239717,97.6,25.002,0.564,14.1,0,"{""soc"":97.6,""voltage"":25.002,""current"":0.564,""power"":14.10,""ocv"":25.033,""cell_v"":4.167,""charging"":false,""latch"":true,""pi_status"":""ready"",""uptime_s"":866}"
